#,SW,SW (t),LW,LW (t),TP (ohm),Temp Probe (*C),TP (t),PT_6 (ohm),PT_6 (*C),PT_6 (t),PT_1 (ohm),PT_1 (*C),PT_1 (t),PT_2 (ohm),PT_2 (*C),PT_2 (t),PT_3 (ohm),PT_3 (*C),PT_3 (t),PT_4 (ohm),PT_4 (*C),PT_4 (t),PT_5 (ohm),PT_5 (*C),PT_5 (t)
0,39.43604,0.00,57.7666,14:39.9,109.5747,24.5883984,14:40.7,1216.8,28.38247025,14:41.6,1216.711,28.36460708,14:42.4,1207.339,26.47924847,14:43.2,1208.426,26.69835843,14:44.1,1272.737,-309.4383222,14:44.9,1217.882,28.59957701,14:45.7
1,39.43848,25.00,57.77148,14:47.4,109.8735,25.35856547,14:48.2,1216.916,28.40575144,14:49.0,1216.767,28.37584692,14:49.8,1207.415,26.49457178,14:50.7,1208.536,26.72052504,14:51.5,1272.854,-309.4289971,14:52.3,1218.02,28.62725902,14:53.1
2,39.44727,50.00,57.7876,15:12.4,110.3633,26.62141328,15:13.2,1217.293,28.48140631,15:14.0,1217.014,28.42541902,15:14.8,1207.763,26.56472922,15:15.6,1208.91,26.79588263,15:16.5,1273.258,-309.3968016,15:17.3,1218.451,28.71370329,15:18.1
3,39.46045,75.00,57.80225,15:37.3,110.5249,27.03816679,15:38.1,1217.681,28.55925427,15:38.9,1217.346,28.49204104,15:39.8,1208.172,26.64716922,15:40.6,1209.294,26.87324092,15:41.4,1273.663,-309.3645323,15:42.2,1218.842,28.79210939,15:43.1
4,39.46973,100.00,57.81787,16:02.2,110.5996,27.23082915,16:03.1,1218.066,28.63648594,16:03.9,1217.71,28.56507222,16:04.7,1208.582,26.72979436,16:05.5,1209.681,26.95118899,16:06.3,1274.066,-309.3324283,16:07.2,1219.219,28.86769413,16:08.0
5,39.48975,125.00,57.84473,16:27.2,110.647,27.35308635,16:28.0,1218.457,28.71490657,16:28.8,1218.101,28.64350629,16:29.6,1209.01,26.81602941,16:30.4,1210.07,27.02952517,16:31.3,1274.468,-309.3004099,16:32.1,1219.591,28.94226299,16:32.9
6,39.49365,150.00,57.83691,16:52.1,110.6846,27.45006982,16:52.9,1218.847,28.79311193,16:53.7,1218.511,28.72573588,16:54.5,1209.403,26.89519677,16:55.3,1210.463,27.10865186,16:56.2,1274.865,-309.2687954,16:57.0,1219.969,29.01802092,16:57.8
7,39.49902,175.00,57.85889,17:16.9,110.7188,27.53828588,17:17.8,1219.245,28.87290637,17:18.6,1218.801,28.78388847,17:19.4,1209.79,26.97314072,17:20.2,1210.864,27.18937375,17:21.1,1275.239,-309.2390178,17:21.9,1220.312,29.0867523,17:22.7
8,39.5083,200.00,57.87158,17:41.9,110.749,27.61618615,17:42.7,1219.618,28.94767473,17:43.5,1219.137,28.85125512,17:44.4,1210.165,27.04865386,17:45.2,1211.216,27.26021894,17:46.0,1275.603,-309.2100412,17:46.8,1220.647,29.15386969,17:47.7
9,39.51807,225.00,57.88623,18:06.8,110.7778,27.69047679,18:07.6,1219.976,29.01942371,18:08.5,1219.484,28.92081579,18:09.3,1210.522,27.12052963,18:10.1,1211.551,27.32763143,18:10.9,1275.963,-309.1813877,18:11.8,1220.982,29.22097627,18:12.6
